Village,Latitude,Longitude,Population,Place_Type,Hub_ID,Dist_hub_km,Covered,Operateur
Kamgbunli,4.9774273,-2.4149435,3923.0,village/town/hamlet,17,8.08,True,MASA
Kamirekrom,6.7500019,-2.5033209,840.0,village/town/hamlet,28,63.19,True,Zipline
Kamompa,8.0592273,-1.2710052,1230.0,village/town/hamlet,-1,-1.0,False,Aucun
Kamonayili,9.3549642,-0.890552,3138.0,village/town/hamlet,0,8.94,True,MASA
Kampong,9.2755624,-0.9947793,505.0,village/town/hamlet,0,23.16,True,MASA
Kanato,9.2367268,-2.0023829,467.0,village/town/hamlet,14,27.05,True,MASA
Kanbonwule,8.3469263,0.0386494,2572.0,village/town/hamlet,30,61.29,True,Zipline
Kanbonwule Beposo,8.3525311,0.0323367,2274.0,village/town/hamlet,30,61.85,True,Zipline
Kanchina,10.3268045,-0.254091,710.0,village/town/hamlet,27,60.14,True,Zipline
Kanda,5.58593,-0.1909792,73145.0,suburb,25,74.16,True,Zipline
Kanda Estates,5.5798986,-0.1923075,69716.0,neighbourhood,25,74.73,True,Zipline
Kandeo,9.8158288,-2.636806,504.0,village/town/hamlet,7,28.35,True,MASA
Kandia,10.8743452,-2.1589798,289.0,village/town/hamlet,-1,-1.0,False,Aucun
Kandiga,10.8979926,-0.9624477,1749.0,village/town/hamlet,27,63.68,True,Zipline
Kandige,8.2455425,-1.8949146,417.0,village/town/hamlet,-1,-1.0,False,Aucun
Kandin,9.2016799,0.4535347,1335.0,village/town/hamlet,-1,-1.0,False,Aucun
Kaneshie,5.5696552,-0.2422186,81616.0,suburb,25,73.92,True,Zipline
Kanewu,5.677488,-0.0632615,19219.0,neighbourhood,25,72.14,True,Zipline
Kanfakrom,4.8549864,-1.8781862,411.0,village/town/hamlet,3,20.24,True,MASA
Kanfiehiyili,9.506619,-0.9046873,1406.0,village/town/hamlet,0,16.85,True,MASA
Kaniago,6.484134,-1.795563,478.0,village/town/hamlet,26,77.93,True,Zipline
Kaniako,6.4753748,-2.9258865,152.0,village/town/hamlet,28,58.68,True,Zipline
Kanjo,8.6041184,-0.0010047,2878.0,village/town/hamlet,-1,-1.0,False,Aucun
Kanjo Kura,8.777315,0.298792,1196.0,village/town/hamlet,-1,-1.0,False,Aucun
Kanka,8.1549553,-2.3599963,3029.0,village/town/hamlet,-1,-1.0,False,Aucun
Kankan,6.4459695,-0.6203882,6592.0,village/town/hamlet,25,33.2,True,Zipline
Kankyiabo,6.4133417,-2.6751081,1177.0,village/town/hamlet,28,33.25,True,Zipline
Kansakrom,6.4908968,-2.2198131,1257.0,village/town/hamlet,28,45.12,True,Zipline
Kansakrom,6.4961124,-2.2126928,1097.0,village/town/hamlet,28,46.07,True,Zipline
Kansare,6.3712496,-1.5712507,3424.0,village/town/hamlet,26,78.69,True,Zipline
Kanshegu,9.5786025,-0.8321431,1923.0,village/town/hamlet,0,21.73,True,MASA
Kantanso,6.6091835,-1.0285623,853.0,village/town/hamlet,26,63.28,True,Zipline
Kantia,10.7743812,-0.7914667,1907.0,suburb,27,47.54,True,Zipline
Kantim,10.1871066,-1.2540883,311.0,village/town/hamlet,27,52.41,True,Zipline
Kantinkyire,6.5487916,-1.6466644,3677.0,village/town/hamlet,26,63.19,True,Zipline
Kantinkyiren,6.6368635,-1.9348797,895.0,village/town/hamlet,26,76.39,True,Zipline
Kantro No.1,7.3432406,-2.4194907,342.0,isolated_dwelling,8,20.51,True,MASA
Kantro No.2,7.3345589,-2.4251488,312.0,isolated_dwelling,8,19.61,True,MASA
Kantro No.3,7.3268414,-2.437216,198.0,isolated_dwelling,8,18.97,True,MASA
Kanvili,9.458229,-0.844708,9266.0,suburb,0,8.9,True,MASA
Kanyanko,5.6926936,-0.6698637,776.0,village/town/hamlet,25,61.87,True,Zipline
Kapalbagu,9.2052975,-0.1811551,1182.0,village/town/hamlet,15,23.54,True,MASA
Kapambe,9.217205,-2.0283212,523.0,village/town/hamlet,14,27.99,True,MASA
Kaparigu,10.2951352,-0.6344969,5161.0,village/town/hamlet,27,19.37,True,Zipline
Kapere,6.0796977,-1.2555476,717.0,village/town/hamlet,-1,-1.0,False,Aucun
Kaprekrom,6.1098055,-1.2493032,331.0,village/town/hamlet,-1,-1.0,False,Aucun
Kapua,8.2989107,-0.8567278,1042.0,village/town/hamlet,-1,-1.0,False,Aucun
Karaga,9.9267799,-0.4316607,12339.0,village/town/hamlet,27,61.97,True,Zipline
Karikarikurom,6.6754969,-2.5124252,615.0,village/town/hamlet,28,54.96,True,Zipline
Kariminga,10.5594059,-0.8319654,653.0,village/town/hamlet,27,23.82,True,Zipline
Kario,6.1327342,-3.0015757,1441.0,village/town/hamlet,28,57.43,True,Zipline
Kasaa,8.3650774,-2.4321455,287.0,village/town/hamlet,-1,-1.0,False,Aucun
Kasaam,6.8446232,-1.4663123,1823.0,village/town/hamlet,26,24.98,True,Zipline
